x,sinx,approx,ex
-12.56637,-0.00000,3.62264,-0.00000
-12.55380,0.01257,3.62184,0.01280
-12.54123,0.02514,3.62104,0.02557
-12.52865,0.03771,3.62024,0.03832
-12.51608,0.05027,3.61943,0.05105
-12.50351,0.06282,3.61862,0.06375
-12.49094,0.07536,3.61781,0.07643
-12.47836,0.08789,3.61700,0.08907
-12.46579,0.10041,3.61618,0.10169
-12.45322,0.11291,3.61536,0.11428
-12.44064,0.12540,3.61454,0.12684
-12.42807,0.13786,3.61371,0.13936
-12.41550,0.15030,3.61289,0.15185
-12.40293,0.16272,3.61206,0.16430
-12.39035,0.17511,3.61123,0.17672
-12.37778,0.18747,3.61039,0.18910
-12.36521,0.19981,3.60955,0.20144
-12.35264,0.21211,3.60871,0.21374
-12.34006,0.22438,3.60787,0.22600
-12.32749,0.23661,3.60703,0.23821
-12.31492,0.24881,3.60618,0.25038
-12.30235,0.26097,3.60533,0.26250
-12.28977,0.27309,3.60448,0.27457
-12.27720,0.28516,3.60362,0.28660
-12.26463,0.29719,3.60276,0.29857
-12.25205,0.30917,3.60190,0.31049
-12.23948,0.32110,3.60104,0.32236
-12.22691,0.33298,3.60017,0.33418
-12.21434,0.34481,3.59930,0.34593
-12.20176,0.35658,3.59843,0.35763
-12.18919,0.36830,3.59755,0.36928
-12.17662,0.37996,3.59668,0.38086
-12.16405,0.39156,3.59579,0.39237
-12.15147,0.40310,3.59491,0.40383
-12.13890,0.41457,3.59403,0.41522
-12.12633,0.42598,3.59314,0.42654
-12.11376,0.43732,3.59224,0.43780
-12.10118,0.44859,3.59135,0.44898
-12.08861,0.45979,3.59045,0.46010
-12.07604,0.47092,3.58955,0.47114
-12.06347,0.48197,3.58865,0.48211
-12.05089,0.49295,3.58774,0.49301
-12.03832,0.50385,3.58683,0.50382
-12.02575,0.51467,3.58592,0.51456
-12.01317,0.52541,3.58501,0.52522
-12.00060,0.53607,3.58409,0.53580
-11.98803,0.54664,3.58317,0.54629
-11.97546,0.55712,3.58224,0.55670
-11.96288,0.56752,3.58132,0.56702
-11.95031,0.57782,3.58039,0.57726
-11.93774,0.58804,3.57946,0.58741
-11.92517,0.59816,3.57852,0.59747
-11.91259,0.60819,3.57758,0.60743
-11.90002,0.61812,3.57664,0.61730
-11.88745,0.62796,3.57569,0.62708
-11.87488,0.63769,3.57475,0.63676
-11.86230,0.64732,3.57379,0.64635
-11.84973,0.65686,3.57284,0.65583
-11.83716,0.66628,3.57188,0.66522
-11.82458,0.67561,3.57092,0.67450
-11.81201,0.68482,3.56996,0.68368
-11.79944,0.69393,3.56899,0.69275
-11.78687,0.70293,3.56802,0.70172
-11.77429,0.71181,3.56705,0.71057
-11.76172,0.72059,3.56607,0.71933
-11.74915,0.72925,3.56509,0.72796
-11.73658,0.73779,3.56411,0.73649
-11.72400,0.74622,3.56313,0.74491
-11.71143,0.75453,3.56214,0.75320
-11.69886,0.76272,3.56115,0.76139
-11.68629,0.77079,3.56015,0.76945
-11.67371,0.77874,3.55915,0.77740
-11.66114,0.78657,3.55815,0.78523
-11.64857,0.79427,3.55714,0.79293
-11.63599,0.80185,3.55613,0.80051
-11.62342,0.80929,3.55512,0.80797
-11.61085,0.81661,3.55411,0.81530
-11.59828,0.82381,3.55309,0.82251
-11.58570,0.83087,3.55207,0.82959
-11.57313,0.83780,3.55104,0.83654
-11.56056,0.84460,3.55001,0.84335
-11.54799,0.85126,3.54898,0.85004
-11.53541,0.85779,3.54794,0.85660
-11.52284,0.86419,3.54690,0.86302
-11.51027,0.87044,3.54586,0.86930
-11.49769,0.87656,3.54481,0.87545
-11.48512,0.88255,3.54376,0.88147
-11.47255,0.88839,3.54271,0.88734
-11.45998,0.89409,3.54165,0.89308
-11.44740,0.89965,3.54059,0.89867
-11.43483,0.90507,3.53953,0.90413
-11.42226,0.91034,3.53846,0.90944
-11.40969,0.91547,3.53739,0.91461
-11.39711,0.92046,3.53632,0.91963
-11.38454,0.92530,3.53524,0.92451
-11.37197,0.93000,3.53416,0.92924
-11.35940,0.93454,3.53307,0.93383
-11.34682,0.93894,3.53198,0.93827
-11.33425,0.94320,3.53089,0.94256
-11.32168,0.94730,3.52979,0.94670
-11.30910,0.95125,3.52869,0.95069
-11.29653,0.95505,3.52759,0.95453
-11.28396,0.95870,3.52648,0.95822
-11.27139,0.96220,3.52537,0.96176
-11.25881,0.96555,3.52425,0.96514
-11.24624,0.96875,3.52313,0.96837
-11.23367,0.97179,3.52201,0.97144
-11.22110,0.97468,3.52088,0.97437
-11.20852,0.97741,3.51975,0.97713
-11.19595,0.97999,3.51862,0.97974
-11.18338,0.98242,3.51748,0.98220
-11.17081,0.98469,3.51634,0.98449
-11.15823,0.98680,3.51519,0.98663
-11.14566,0.98876,3.51404,0.98861
-11.13309,0.99056,3.51289,0.99044
-11.12052,0.99220,3.51173,0.99210
-11.10794,0.99369,3.51057,0.99361
-11.09537,0.99502,3.50940,0.99496
-11.08280,0.99620,3.50823,0.99615
-11.07022,0.99721,3.50706,0.99718
-11.05765,0.99807,3.50588,0.99805
-11.04508,0.99877,3.50470,0.99876
-11.03251,0.99932,3.50351,0.99931
-11.01993,0.99970,3.50232,0.99970
-11.00736,0.99993,3.50112,0.99993
-10.99479,1.00000,3.49992,1.00000
-10.98222,0.99991,3.49872,0.99991
-10.96964,0.99966,3.49751,0.99966
-10.95707,0.99926,3.49630,0.99925
-10.94450,0.99870,3.49509,0.99868
-10.93193,0.99798,3.49387,0.99795
-10.91935,0.99710,3.49264,0.99706
-10.90678,0.99606,3.49142,0.99601
-10.89421,0.99487,3.49018,0.99480
-10.88163,0.99352,3.48895,0.99343
-10.86906,0.99201,3.48770,0.99190
-10.85649,0.99034,3.48646,0.99022
-10.84392,0.98852,3.48521,0.98838
-10.83134,0.98654,3.48395,0.98637
-10.81877,0.98441,3.48270,0.98421
-10.80620,0.98212,3.48143,0.98190
-10.79363,0.97968,3.48017,0.97942
-10.78105,0.97708,3.47889,0.97679
-10.76848,0.97433,3.47762,0.97401
-10.75591,0.97142,3.47634,0.97107
-10.74334,0.96836,3.47505,0.96797
-10.73076,0.96514,3.47376,0.96472
-10.71819,0.96178,3.47246,0.96132
-10.70562,0.95826,3.47116,0.95777
-10.69304,0.95459,3.46986,0.95406
-10.68047,0.95076,3.46855,0.95020
-10.66790,0.94679,3.46724,0.94619
-10.65533,0.94267,3.46592,0.94203
-10.64275,0.93840,3.46460,0.93772
-10.63018,0.93398,3.46327,0.93327
-10.61761,0.92942,3.46194,0.92866
-10.60504,0.92470,3.46060,0.92391
-10.59246,0.91985,3.45926,0.91901
-10.57989,0.91484,3.45791,0.91397
-10.56732,0.90969,3.45656,0.90878
-10.55475,0.90440,3.45521,0.90345
-10.54217,0.89896,3.45384,0.89798
-10.52960,0.89338,3.45248,0.89237
-10.51703,0.88767,3.45111,0.88661
-10.50446,0.88181,3.44973,0.88072
-10.49188,0.87581,3.44835,0.87469
-10.47931,0.86967,3.44696,0.86853
-10.46674,0.86339,3.44557,0.86222
-10.45416,0.85698,3.44418,0.85578
-10.44159,0.85044,3.44278,0.84921
-10.42902,0.84375,3.44137,0.84251
-10.41645,0.83694,3.43996,0.83567
-10.40387,0.82999,3.43854,0.82871
-10.39130,0.82292,3.43712,0.82161
-10.37873,0.81571,3.43570,0.81439
-10.36616,0.80837,3.43426,0.80704
-10.35358,0.80091,3.43283,0.79957
-10.34101,0.79331,3.43138,0.79197
-10.32844,0.78560,3.42994,0.78425
-10.31587,0.77776,3.42848,0.77641
-10.30329,0.76979,3.42703,0.76845
-10.29072,0.76171,3.42556,0.76037
-10.27815,0.75350,3.42409,0.75217
-10.26557,0.74517,3.42262,0.74386
-10.25300,0.73673,3.42114,0.73543
-10.24043,0.72817,3.41965,0.72689
-10.22786,0.71950,3.41816,0.71824
-10.21528,0.71071,3.41667,0.70947
-10.20271,0.70181,3.41517,0.70060
-10.19014,0.69280,3.41366,0.69162
-10.17757,0.68368,3.41215,0.68253
-10.16499,0.67445,3.41063,0.67334
-10.15242,0.66511,3.40910,0.66405
-10.13985,0.65567,3.40757,0.65465
-10.12728,0.64613,3.40604,0.64515
-10.11470,0.63648,3.40450,0.63556
-10.10213,0.62673,3.40295,0.62587
-10.08956,0.61689,3.40140,0.61608
-10.07698,0.60694,3.39984,0.60619
-10.06441,0.59690,3.39828,0.59621
-10.05184,0.58677,3.39671,0.58615
-10.03927,0.57654,3.39513,0.57599
-10.02669,0.56622,3.39355,0.56574
-10.01412,0.55582,3.39196,0.55540
-10.00155,0.54532,3.39037,0.54498
-9.98898,0.53474,3.38877,0.53448
-9.97640,0.52407,3.38716,0.52389
-9.96383,0.51332,3.38555,0.51322
-9.95126,0.50249,3.38393,0.50247
-9.93869,0.49158,3.38231,0.49165
-9.92611,0.48060,3.38068,0.48075
-9.91354,0.46953,3.37904,0.46977
-9.90097,0.45840,3.37740,0.45871
-9.88840,0.44719,3.37575,0.44759
-9.87582,0.43591,3.37410,0.43640
-9.86325,0.42456,3.37244,0.42513
-9.85068,0.41314,3.37077,0.41380
-9.83810,0.40166,3.36910,0.40240
-9.82553,0.39011,3.36742,0.39094
-9.81296,0.37851,3.36573,0.37941
-9.80039,0.36684,3.36404,0.36782
-9.78781,0.35511,3.36234,0.35618
-9.77524,0.34333,3.36063,0.34447
-9.76267,0.33150,3.35892,0.33270
-9.75010,0.31961,3.35720,0.32088
-9.73752,0.30767,3.35548,0.30901
-9.72495,0.29569,3.35374,0.29708
-9.71238,0.28365,3.35201,0.28510
-9.69981,0.27157,3.35026,0.27307
-9.68723,0.25945,3.34851,0.26099
-9.67466,0.24729,3.34675,0.24886
-9.66209,0.23509,3.34498,0.23668
-9.64951,0.22285,3.34321,0.22447
-9.63694,0.21058,3.34143,0.21220
-9.62437,0.19827,3.33965,0.19990
-9.61180,0.18593,3.33785,0.18756
-9.59922,0.17356,3.33605,0.17517
-9.58665,0.16117,3.33425,0.16275
-9.57408,0.14875,3.33243,0.15029
-9.56151,0.13630,3.33061,0.13780
-9.54893,0.12384,3.32878,0.12527
-9.53636,0.11135,3.32695,0.11271
-9.52379,0.09885,3.32511,0.10012
-9.51122,0.08633,3.32326,0.08749
-9.49864,0.07380,3.32140,0.07484
-9.48607,0.06125,3.31954,0.06216
-9.47350,0.04870,3.31766,0.04946
-9.46092,0.03614,3.31579,0.03673
-9.44835,0.02357,3.31390,0.02397
-9.43578,0.01100,3.31201,0.01120
-9.42321,-0.00157,3.31011,-0.00160
-9.41063,-0.01414,3.30820,-0.01439
-9.39806,-0.02671,3.30628,-0.02716
-9.38549,-0.03928,3.30436,-0.03991
-9.37292,-0.05184,3.30243,-0.05264
-9.36034,-0.06439,3.30049,-0.06534
-9.34777,-0.07693,3.29854,-0.07801
-9.33520,-0.08946,3.29659,-0.09065
-9.32263,-0.10198,3.29463,-0.10327
-9.31005,-0.11447,3.29266,-0.11585
-9.29748,-0.12695,3.29068,-0.12840
-9.28491,-0.13941,3.28870,-0.14092
-9.27234,-0.15185,3.28671,-0.15341
-9.25976,-0.16427,3.28471,-0.16586
-9.24719,-0.17666,3.28270,-0.17827
-9.23462,-0.18902,3.28068,-0.19064
-9.22204,-0.20135,3.27866,-0.20298
-9.20947,-0.21365,3.27662,-0.21527
-9.19690,-0.22591,3.27458,-0.22752
-9.18433,-0.23814,3.27253,-0.23973
-9.17175,-0.25033,3.27048,-0.25189
-9.15918,-0.26249,3.26841,-0.26401
-9.14661,-0.27460,3.26634,-0.27608
-9.13404,-0.28666,3.26426,-0.28810
-9.12146,-0.29869,3.26216,-0.30006
-9.10889,-0.31066,3.26007,-0.31198
-9.09632,-0.32259,3.25796,-0.32384
-9.08375,-0.33446,3.25584,-0.33565
-9.07117,-0.34628,3.25372,-0.34740
-9.05860,-0.35805,3.25159,-0.35909
-9.04603,-0.36976,3.24944,-0.37073
-9.03345,-0.38141,3.24729,-0.38230
-9.02088,-0.39300,3.24514,-0.39381
-9.00831,-0.40453,3.24297,-0.40526
-8.99574,-0.41600,3.24079,-0.41664
-8.98316,-0.42740,3.23861,-0.42795
-8.97059,-0.43873,3.23641,-0.43920
-8.95802,-0.44999,3.23421,-0.45038
-8.94545,-0.46119,3.23200,-0.46148
-8.93287,-0.47231,3.22978,-0.47252
-8.92030,-0.48335,3.22755,-0.48348
-8.90773,-0.49432,3.22531,-0.49436
-8.89515,-0.50521,3.22306,-0.50517
-8.88258,-0.51602,3.22080,-0.51590
-8.87001,-0.52675,3.21854,-0.52655
-8.85744,-0.53739,3.21626,-0.53711
-8.84486,-0.54795,3.21397,-0.54760
-8.83229,-0.55843,3.21168,-0.55800
-8.81972,-0.56881,3.20938,-0.56831
-8.80715,-0.57911,3.20706,-0.57853
-8.79457,-0.58931,3.20474,-0.58867
-8.78200,-0.59942,3.20241,-0.59872
-8.76943,-0.60944,3.20006,-0.60867
-8.75686,-0.61936,3.19771,-0.61853
-8.74428,-0.62918,3.19535,-0.62830
-8.73171,-0.63890,3.19298,-0.63797
-8.71914,-0.64852,3.19060,-0.64754
-8.70656,-0.65804,3.18821,-0.65701
-8.69399,-0.66745,3.18580,-0.66638
-8.68142,-0.67676,3.18339,-0.67565
-8.66885,-0.68597,3.18097,-0.68482
-8.65627,-0.69506,3.17854,-0.69388
-8.64370,-0.70404,3.17610,-0.70283
-8.63113,-0.71292,3.17365,-0.71167
-8.61856,-0.72168,3.17119,-0.72041
-8.60598,-0.73032,3.16871,-0.72904
-8.59341,-0.73885,3.16623,-0.73755
-8.58084,-0.74727,3.16374,-0.74595
-8.56827,-0.75556,3.16124,-0.75423
-8.55569,-0.76374,3.15872,-0.76240
-8.54312,-0.77179,3.15620,-0.77045
-8.53055,-0.77973,3.15366,-0.77838
-8.51797,-0.78754,3.15112,-0.78619
-8.50540,-0.79522,3.14856,-0.79388
-8.49283,-0.80278,3.14599,-0.80145
-8.48026,-0.81022,3.14342,-0.80889
-8.46768,-0.81752,3.14083,-0.81621
-8.45511,-0.82470,3.13823,-0.82340
-8.44254,-0.83174,3.13562,-0.83046
-8.42997,-0.83866,3.13300,-0.83740
-8.41739,-0.84544,3.13036,-0.84420
-8.40482,-0.85209,3.12772,-0.85087
-8.39225,-0.85860,3.12506,-0.85741
-8.37968,-0.86498,3.12240,-0.86381
-8.36710,-0.87122,3.11972,-0.87008
-8.35453,-0.87732,3.11703,-0.87621
-8.34196,-0.88328,3.11433,-0.88221
-8.32939,-0.88911,3.11162,-0.88807
-8.31681,-0.89479,3.10889,-0.89378
-8.30424,-0.90033,3.10616,-0.89936
-8.29167,-0.90573,3.10341,-0.90480
-8.27909,-0.91099,3.10065,-0.91009
-8.26652,-0.91611,3.09788,-0.91524
-8.25395,-0.92107,3.09510,-0.92025
-8.24138,-0.92590,3.09230,-0.92511
-8.22880,-0.93057,3.08950,-0.92983
-8.21623,-0.93510,3.08668,-0.93439
-8.20366,-0.93948,3.08385,-0.93881
-8.19109,-0.94372,3.08101,-0.94308
-8.17851,-0.94780,3.07815,-0.94721
-8.16594,-0.95173,3.07528,-0.95118
-8.15337,-0.95552,3.07240,-0.95500
-8.14079,-0.95915,3.06951,-0.95867
-8.12822,-0.96263,3.06661,-0.96219
-8.11565,-0.96596,3.06369,-0.96555
-8.10308,-0.96914,3.06076,-0.96876
-8.09051,-0.97216,3.05782,-0.97182
-8.07793,-0.97503,3.05486,-0.97472
-8.06536,-0.97774,3.05189,-0.97747
-8.05279,-0.98030,3.04891,-0.98006
-8.04021,-0.98271,3.04592,-0.98249
-8.02764,-0.98496,3.04291,-0.98477
-8.01507,-0.98705,3.03989,-0.98689
-8.00250,-0.98899,3.03686,-0.98885
-7.98992,-0.99077,3.03381,-0.99066
-7.97735,-0.99240,3.03075,-0.99230
-7.96478,-0.99387,3.02768,-0.99379
-7.95221,-0.99518,3.02459,-0.99512
-7.93963,-0.99633,3.02149,-0.99629
-7.92706,-0.99733,3.01837,-0.99730
-7.91449,-0.99817,3.01525,-0.99815
-7.90192,-0.99885,3.01210,-0.99884
-7.88934,-0.99937,3.00895,-0.99937
-7.87677,-0.99974,3.00578,-0.99974
-7.86420,-0.99995,3.00260,-0.99995
-7.85162,-1.00000,2.99940,-1.00000
-7.83905,-0.99989,2.99619,-0.99989
-7.82648,-0.99962,2.99296,-0.99962
-7.81391,-0.99920,2.98972,-0.99919
-7.80133,-0.99861,2.98647,-0.99860
-7.78876,-0.99787,2.98320,-0.99785
-7.77619,-0.99698,2.97992,-0.99694
-7.76362,-0.99592,2.97662,-0.99587
-7.75104,-0.99471,2.97331,-0.99464
-7.73847,-0.99334,2.96998,-0.99325
-7.72590,-0.99181,2.96664,-0.99170
-7.71333,-0.99012,2.96328,-0.99000
-7.70075,-0.98828,2.95991,-0.98813
-7.68818,-0.98629,2.95652,-0.98611
-7.67561,-0.98413,2.95312,-0.98393
-7.66303,-0.98182,2.94971,-0.98160
-7.65046,-0.97936,2.94627,-0.97910
-7.63789,-0.97674,2.94283,-0.97645
-7.62532,-0.97397,2.93936,-0.97365
-7.61274,-0.97104,2.93589,-0.97069
-7.60017,-0.96796,2.93239,-0.96758
-7.58760,-0.96473,2.92888,-0.96431
-7.57503,-0.96134,2.92536,-0.96089
-7.56245,-0.95781,2.92182,-0.95731
-7.54988,-0.95412,2.91826,-0.95359
-7.53731,-0.95028,2.91469,-0.94971
-7.52474,-0.94629,2.91110,-0.94568
-7.51216,-0.94215,2.90749,-0.94150
-7.49959,-0.93786,2.90387,-0.93717
-7.48702,-0.93342,2.90023,-0.93270
-7.47444,-0.92884,2.89658,-0.92807
-7.46187,-0.92410,2.89291,-0.92330
-7.44930,-0.91923,2.88922,-0.91839
-7.43673,-0.91420,2.88551,-0.91333
-7.42415,-0.90904,2.88179,-0.90812
-7.41158,-0.90373,2.87806,-0.90278
-7.39901,-0.89827,2.87430,-0.89729
-7.38644,-0.89268,2.87053,-0.89166
-7.37386,-0.88694,2.86674,-0.88589
-7.36129,-0.88106,2.86293,-0.87998
-7.34872,-0.87505,2.85911,-0.87393
-7.33615,-0.86889,2.85527,-0.86774
-7.32357,-0.86260,2.85141,-0.86142
-7.31100,-0.85617,2.84754,-0.85497
-7.29843,-0.84961,2.84364,-0.84838
-7.28585,-0.84291,2.83973,-0.84166
-7.27328,-0.83608,2.83580,-0.83481
-7.26071,-0.82912,2.83185,-0.82783
-7.24814,-0.82202,2.82789,-0.82072
-7.23556,-0.81480,2.82390,-0.81348
-7.22299,-0.80744,2.81990,-0.80612
-7.21042,-0.79996,2.81588,-0.79863
-7.19785,-0.79236,2.81184,-0.79102
-7.18527,-0.78462,2.80779,-0.78328
-7.17270,-0.77677,2.80371,-0.77542
-7.16013,-0.76879,2.79962,-0.76745
-7.14756,-0.76069,2.79550,-0.75935
-7.13498,-0.75247,2.79137,-0.75114
-7.12241,-0.74413,2.78722,-0.74281
-7.10984,-0.73567,2.78305,-0.73437
-7.09726,-0.72709,2.77886,-0.72581
-7.08469,-0.71841,2.77465,-0.71715
-7.07212,-0.70960,2.77042,-0.70837
-7.05955,-0.70069,2.76618,-0.69948
-7.04697,-0.69166,2.76191,-0.69049
-7.03440,-0.68253,2.75762,-0.68139
-7.02183,-0.67329,2.75331,-0.67219
-7.00926,-0.66394,2.74899,-0.66288
-6.99668,-0.65448,2.74464,-0.65347
-6.98411,-0.64493,2.74027,-0.64396
-6.97154,-0.63527,2.73589,-0.63435
-6.95897,-0.62551,2.73148,-0.62465
-6.94639,-0.61565,2.72705,-0.61485
-6.93382,-0.60569,2.72260,-0.60495
-6.92125,-0.59564,2.71813,-0.59496
-6.90868,-0.58549,2.71364,-0.58488
-6.89610,-0.57526,2.70913,-0.57471
-6.88353,-0.56493,2.70460,-0.56445
-6.87096,-0.55451,2.70004,-0.55411
-6.85838,-0.54400,2.69547,-0.54367
-6.84581,-0.53341,2.69087,-0.53316
-6.83324,-0.52273,2.68626,-0.52256
-6.82067,-0.51197,2.68162,-0.51188
-6.80809,-0.50113,2.67696,-0.50113
-6.79552,-0.49021,2.67228,-0.49029
-6.78295,-0.47922,2.66757,-0.47938
-6.77038,-0.46815,2.66284,-0.46839
-6.75780,-0.45700,2.65810,-0.45733
-6.74523,-0.44578,2.65333,-0.44620
-6.73266,-0.43449,2.64853,-0.43499
-6.72009,-0.42313,2.64372,-0.42372
-6.70751,-0.41171,2.63888,-0.41238
-6.69494,-0.40022,2.63402,-0.40097
-6.68237,-0.38866,2.62914,-0.38950
-6.66979,-0.37705,2.62423,-0.37797
-6.65722,-0.36538,2.61930,-0.36637
-6.64465,-0.35364,2.61435,-0.35472
-6.63208,-0.34186,2.60937,-0.34300
-6.61950,-0.33001,2.60437,-0.33123
-6.60693,-0.31812,2.59935,-0.31940
-6.59436,-0.30618,2.59431,-0.30752
-6.58179,-0.29418,2.58924,-0.29558
-6.56921,-0.28214,2.58414,-0.28360
-6.55664,-0.27006,2.57902,-0.27156
-6.54407,-0.25793,2.57388,-0.25947
-6.53150,-0.24577,2.56872,-0.24734
-6.51892,-0.23356,2.56352,-0.23516
-6.50635,-0.22132,2.55831,-0.22294
-6.49378,-0.20904,2.55307,-0.21067
-6.48120,-0.19673,2.54781,-0.19836
-6.46863,-0.18439,2.54252,-0.18601
-6.45606,-0.17201,2.53720,-0.17362
-6.44349,-0.15962,2.53186,-0.16119
-6.43091,-0.14719,2.52650,-0.14873
-6.41834,-0.13475,2.52111,-0.13623
-6.40577,-0.12228,2.51570,-0.12370
-6.39320,-0.10979,2.51025,-0.11114
-6.38062,-0.09728,2.50479,-0.09854
-6.36805,-0.08476,2.49930,-0.08591
-6.35548,-0.07223,2.49378,-0.07326
-6.34291,-0.05968,2.48823,-0.06058
